id,symbol,name,polygon_pos_contract_hash,ethereum_contract_hash,avalanche_contract_hash,solana_contract_hash,circulating_supply,total_supply,max_supply,ath,ath_date,atl,atl_date,last_updated
ethereum-name-service,ENS,Ethereum Name Service,NaN,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,NaN,NaN,23009904.288270764,100000000.0,100000000.0,83.4,2021-11-11T02:20:01.099Z,12.07,2022-02-24T05:55:51.023Z,2022-02-24T23:13:49.958Z
everdome,DOME,Everdome,NaN,NaN,NaN,NaN,6705955979.99,100000000000.0,100000000000.0,0.094188,2022-02-17T10:40:37.142Z,0.01673733,2022-02-08T08:32:49.958Z,2022-02-24T23:12:31.935Z
everscale,EVER,Everscale,NaN,0xdb3c2515da400e11bcaf84f3b5286f18fff1868f,NaN,NaN,919187772.0,2047252396.0,NaN,2.56,2020-10-13T21:23:14.299Z,0.167648,2020-12-27T23:18:24.412Z,2022-02-24T23:12:21.413Z
fantom,FTM,Fantom,NaN,0x4e15361fd6b4bb609fa63c81a2be19d873717870,NaN,NaN,2541152731.01,3175000000.0,3175000000.0,3.46,2021-10-28T05:19:39.845Z,0.00190227,2020-03-13T02:25:38.280Z,2022-02-24T23:13:53.417Z
fei-usd,FEI,Fei USD,NaN,0x956f47f50a910163d8bf957cf5846d573e7f87ca,NaN,NaN,556566746.9332111,557099844.256743,557099844.256743,1.11,2021-05-19T17:09:49.508Z,0.669435,2021-04-18T03:44:09.238Z,2022-02-24T23:14:14.739Z
fetch-ai,FET,Fetch.ai,NaN,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,NaN,NaN,688117804.9994855,1152997575.0,NaN,1.17,2021-09-08T02:24:24.858Z,0.00816959,2020-03-13T02:24:18.347Z,2022-02-24T23:13:21.788Z
filecoin,FIL,Filecoin,NaN,NaN,NaN,NaN,168051056.0,1970814088.0,1970814088.0,236.84,2021-04-01T13:29:41.564Z,16.76,2022-01-24T10:30:12.010Z,2022-02-24T23:13:48.819Z
flex-coin,FLEX,FLEX Coin,NaN,0xfcf8eda095e37a41e002e266daad7efc1579bc0a,NaN,NaN,78735764.894,98735764.894,98735764.894,7.56,2021-12-22T02:44:42.437Z,0.00047299,2020-08-04T11:18:39.614Z,2022-02-24T23:12:26.998Z
flow,FLOW,Flow,NaN,NaN,NaN,NaN,330613882.0,1406861617.06272,NaN,42.4,2021-04-05T13:49:10.098Z,4.33,2022-01-24T10:22:04.158Z,2022-02-24T23:14:05.037Z
frax,FRAX,Frax,0x45c32fa6df82ead1e2ef74d17b76547eddfaff89,0x853d955acef822db058eb8505911ed77f175b99e,0xd24c2ad096400b6fbcd2ad8b24e7acbc21a1da64,FR87nWEUxVgerFGhZM8Y4AggKGLnaXswr1Pd8wZ4kZcp,2653242158.00651,2653242158.00651,2653242158.00651,1.14,2021-02-07T12:55:35.766Z,0.891635,2021-12-04T05:33:57.315Z,2022-02-24T23:14:03.290Z
frax-share,FXS,Frax Share,0x1a3acf6d19267e2d3e7f898f42803e90c9219062,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x214db107654ff987ad859f34125307783fc8e387,6LX8BhMQ4Sy2otmAWj7Y5sKd9YTVVUgfMsBzT6B9W7ct,57730568.56472808,99700237.5844074,99700237.5844074,42.8,2022-01-12T15:22:27.465Z,1.5,2021-06-25T16:50:51.447Z,2022-02-24T23:14:31.092Z
ftx-token,FTT,FTX Token,NaN,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,NaN,AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3,137818734.41874424,333688070.485972,333688070.485972,84.18,2021-09-09T16:59:43.151Z,1.15,2019-09-06T00:00:00.000Z,2022-02-24T23:14:22.548Z
fx-coin,FX,Function X,NaN,0x8c15ef5b4b21951d50e53e4fbda8298ffad25057,NaN,NaN,462998105.198022,462998105.198022,1893022625.0,2.2,2021-08-30T03:08:34.715Z,0.03475487,2020-03-13T02:29:11.980Z,2022-02-24T23:14:03.137Z
gala,GALA,Gala,NaN,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,NaN,NaN,7542496572.319239,36944571056.7182,50000000000.0,0.824837,2021-11-26T01:03:48.731Z,0.00013475,2020-12-28T08:46:48.367Z,2022-02-24T23:13:59.812Z
gatechain-token,GT,GateToken,NaN,0xe66747a101bff2dba3697199dcce5b743b454759,NaN,NaN,151758801.7378072,300000000.0,NaN,12.94,2021-05-12T11:39:16.531Z,0.25754,2020-03-13T02:18:02.481Z,2022-02-24T23:12:50.104Z
gemini-dollar,GUSD,Gemini Dollar,NaN,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,NaN,NaN,204938997.79,204938997.79,NaN,3.3,2018-10-11T17:36:21.529Z,0.78261,2018-09-29T00:00:00.000Z,2022-02-24T23:14:16.563Z
gmx,GMX,GMX,NaN,NaN,0x62edc0692bd897d2295872a9ffcac5425011c661,NaN,7376057.46285156,7376057.46285156,13250000.0,62.1,2022-01-16T16:01:00.545Z,11.77,2021-09-24T14:19:24.453Z,2022-02-24T23:14:04.941Z
gnosis,GNO,Gnosis,NaN,0x6810e776880c02933d47db1b9fc05908e5386b96,NaN,NaN,1865027.0012636958,10000000.0,10000000.0,644.2,2021-11-08T17:33:29.302Z,6.88,2020-03-13T02:24:11.825Z,2022-02-24T23:14:05.502Z
golem,GLM,Golem,NaN,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,NaN,NaN,1000000000.0,1000000000.0,NaN,1.32,2018-04-13T09:13:22.739Z,0.00913753,2016-12-12T00:00:00.000Z,2022-02-24T23:13:34.249Z
harmony,ONE,Harmony,NaN,NaN,NaN,NaN,11718227122.1007,13156044839.793139,13156044839.793139,0.37902,2021-10-26T09:28:49.782Z,0.00127355,2020-03-13T02:24:14.005Z,2022-02-24T23:14:03.191Z
